,0,1,2,3,4
2795,,,,,
2796,,,,,
2797,votes chidambaram,,,,
2798,,,,,
2799,womenwow oceanclimateaction,,,,
2800,,,,,
2801,,,,,
2802,,,,,
2803,pm narendramodi,narendramodi thankyou,narendramodi ji,rashtriya samar,
2804,new low,new high,,,
2805,modi,everything modi,,,
2806,dhoti pappu,wearing dhoti,dhoti,pappu wanted,pappu
2807,,,,,
2808,nationalwarmemorial in,nationalwarmemorial,war memorial,,
2809,protesting farmers,,,,
2810,,,,,
2811,bjp remains,if bjp,,,
2812,their hatred,,,,
2813,tough induswatertreaty,,,,
2814,nokia healthcare,healthcare business,visit nokia,nokia today,nokia
2815,gandhi trained,,,,
2816,indira gandhi,indira,gandhi responds,abpnewstv indira,gandhi
2817,nelsonchamisa to,,,,
2818,,,,,
2819,,,,,
2820,image narcissist,narcissist,shashitharoor modi,,
2821,,,,,
2822,pakistan diplomatically,isolate pakistan,,,
2823,,,,,
2824,,,,,
2825,,,,,
2826,reality nationalwarmemorial,modi report,nationalwarmemorial https,memorial promise,war memorial
2827,pakistan isi,whatsapp group,,,
2828,terrorist hindu,eradicate hindutva,hindutva,hindutva from,hindu india
2829,pakistanis,pakistanis being,in pakistanis,group bjp,bjp wa
2830,bjp claim,,,,
2831,modi surrenders,imran,not imran,imran to,advise imran
2832,mandawali area,of mandawali,mandawali,,
2833,,,,,
2834,modi govt,indiaâ stock,modi,,
2835,,,,,
2836,modi was,modi as,so modi,modi,
2837,boycott bjp,bjp maza,must boycott,bjp,
2838,washing feet,sanitation workers,licking feet,of sanitation,
2839,mahasabha felicitated,hindu mahasabha,mahasabha,the hindu,gandhi
2840,,,,,
2841,backed pakistan,,,,
2842,ban drugs,modi sarkar,sarkar should,,
2843,assam government,of assam,assam,,
2844,rx drugs,,,,
2845,,,,,
2846,,,,,
2847,lands wasted,land wasted,,,
2848,pappu poop,,,,
2849,will ban,ban in,to ban,ban,ban your
2850,karachi bakery,targeting karachi,,,
2851,udit tyagi,,,,
2852,gandhifamily has,gandhifamily,to nationalwarmemorial,for gandhifamily,
2853,,,,,
2854,scam rafale,rafale issue,bofors scam,,
2855,suppressed nationalism,nationalism,,,
2856,,,,,
2857,will modi,,,,
2858,,,,,
2859,gst modi,manmohan wanted,,,
2860,,,,,
2861,pakistanâ terrorists,terrorists clean,,,
2862,iafstrikes translated,rss indiastrikespakistan,indiastrikespakistan,translated anger,indiastrikespakistan https
2863,indian media,,,,
2864,surgical strike,,,,
2865,in kashmir,quoting gandhi,kashmir,kashmir can,
2866,written namo,namo will,,,
2867,blamed mamata,blamed bjp,gauravdutt mamatabanerjee,,
2868,,,,,
2869,pandey_indrani ameytirodkar,,,,
2870,which corbyn,corbyn,corbyn sidekick,,
2871,pakistani is,pakistani,,,
2872,balakot village,the balakot,of balakot,balakot,balakot its
2873,balakot chakoti,paki misadventures,paki,chakoti muzaffarabad,for paki
2874,indiastrikespakistan news,rahul tweeted,,,
2875,surprised ocasio,ocasio cortez,,,
2876,,,,,
2877,,,,,
2878,iaf_mcc indiannavy,defenceminindia iaf_mcc,iaf strikes,,
2879,,,,,
2880,do demorats,,,,
2881,,,,,
2882,modi war,,,,
2883,urged indians,,,,
2884,indiastrikespakistan pm,,,,
2885,,,,,
2886,,,,,
2887,modi wag,politics surgicalstrike2,,,
2888,india vote,,,,
2889,since indiraâ,indiraâ death,india lost,india did,indiraâ
2890,pakistan the,pakistan,,,
2891,attack india,these jihaadis,,,
2892,of namo,namo always,namo,,
2893,will pappu,pappu be,pappu,,
2894,narendra modi,,,,
2895,balakot strikes,indian politics,,,
2896,jfk ðÿ,churchill ðÿ,gandhi ðÿ,,
2897,,,,,
2898,jaihind indiastrikesback,indiastrikesback,indians feel,our indiansoldiers,jaijawan jaihind
2899,bjp,the bjp,bjp government,protest,
2900,president rahulgandhi,,,,
2901,,,,,
2902,modi censored,journalist ram,,,
2903,,,,,
2904,surgical strike,surgical strikes,,,
2905,indian war,,,,
2906,anti national,,,,
2907,defeat pakistan,pakistan will,indian aggression,,
2908,gaddafi,gaddafi was,,,
2909,article 356,congress misuses,destroying institutions,,
2910,pe sonia,sonia gandhi,gandhi is,gandhi,
2911,infants protection,infants born,abortion,,
2912,peace prize,gandhi peace,attending gandhi,,
2913,naman martyred,guru shat,pakistan,,
2914,india want,mode indian,,,
2915,,,,,
2916,,,,,
2917,,,,,
2918,capt_amarinder punjab,punjab,punjab ka,ka captain,
2919,dangerous modi,kolkata police,,,
2920,,,,,
2921,,,,,
2922,pm modi,modi,modi is,jai hind,airforce jai
2923,bombs pakistan,,,,
2924,blind mahatma,world blind,mahatma gandhi,an eye,eye only
2925,,,,,
2926,modi directed,modi,,,
2927,memorial darjeeling,narendramodi inaugurated,darjeeling gorkhaland,war memorial,
2928,pak iaf,,,,
2929,,,,,
2930,,,,,
2931,balakot attack,about balakot,balakot,,
2932,india traders,crore traders,bjp4india,rajnathsingh bjp4india,bjp4india bjp4delhi
2933,,,,,
2934,ajit doval,,,,
2935,mehbooba is,mehbooba,like mehbooba,,
2936,,,,,
2937,indians contempt,contempt indiastrikes,,,
2938,gandhi is,rahul gandhi,gandhi,is smarter,
2939,bjp election,wahan bjp,bjp,,
2940,terrorists thoko,indiastrikespakistan rahulgandhi,indiastrikespakistan,,
2941,rr resigns,doj subpoena,,,
2942,,,,,
2943,modi airstrikes,,,,
2944,indiaâ soldiers,indiaâ bravehearts,indiaâ pride,war memorial,
2945,,,,,
2946,abortion survivors,,,,
2947,mandir replaced,bjp modi,with bjp,,
2948,,,,,
2949,difference modi,,,,
2950,background checks,,,,
2951,air strike,modi was,,,
2952,air strikes,,,,
2953,,,,,
2954,pakistan conflict,pakistan about,denuclearize pakistan,,
2955,blamed modi,pro modi,modi,to modi,modi phulwana
2956,,,,,
2957,emojis rahul,gandhi reacts,rahul gandhi,rahul,pakistan words
2958,strike bjp,balakot air,bjptracker,on balakot,theprintâ bjptracker
2959,strike mirage,surgical strike,,,
2960,cohen testifying,evidence cohen,corroborating evidence,testifying before,about corroboration
2961,loc balakote,balakot,balakote and,kashmir,of kashmir
2962,ahmad barelvi,,,,
2963,officer joshi,,,,
2964,air strike,another strike,,,
2965,modi was,india attacked,pm modi,modi,
2966,pakistani territory,of pakistanarmy,pakistanarmy,pakistan,pakistanarmy will
2967,nationalist fools,,,,
2968,,,,,
2969,indian press,,,,
2970,india hypocrite,,,,
2971,pak is,pak,,,
2972,unrest northeastwelcomesrahulgandhi,bjp,strikes unrest,,
2973,cp rahulgandhi,loksabha elections,bjp shivsena,of bjp,forthcoming loksabha
2974,,,,,
2975,such bombing,,,,
2976,promises bjp,bjp delivers,nationalwarmemorial congress,bjp,
2977,air strikes,,,,
2978,rss congratulates,congratulates iaf,,,
2979,tceq are,tceq fails,but tceq,polluters accountable,
2980,modi govt,,,,
2981,alive bill,dems block,,,
2982,bombed balakot,,,,
2983,modi sarkar,namo bjp_à,modifailsnationalsecurity,modifailsnationalsecurity the,
2984,terror govt,terrorism ¾à,,,
2985,indian flag,,,,
2986,sex trafficking,trafficking,,,
2987,pmoindia bjp4india,bjp4india,,,
2988,ryt modi,being_humor kejri,kejri is,pakistan sarji,
2989,,,,,
2990,,,,,
2991,kg bomb,,,,
2992,surgicalstrike2 hows,surgical strike2,surgicalstrike2,army surgical,
2993,soaring measles,measles cases,measles,,
2994,mahagathbandhan whatsapp,fake chat,whatsapp,chat screenshots,whatsapp group
2995,,,,,
2996,indira gandhi,indira,gandhi speaking,gandhi,bangladesh war
2997,rahulkabaapchorhai this,rahulkabaapchorhai,corruption,corruption managed,
2998,,,,,
2999,ban night,night gst,night indiastrikesback,gst night,strike night
3000,india want,mode indian,,,
3001,climate hearings,climateweek,climateweek in,itâ climateweek,
3002,aam_nationalist,begging congress,,,
3003,,,,,
3004,surgicalstrike2 kejriwal,kejriwal is,,,
3005,,,,,
3006,,,,,
3007,slavery are,slavery today,,,
3008,hindu girl,ruled haryana,haryana,haryana very,of bjp
3009,indian celebrities,ambani wedding,,,
3010,,,,,
3011,criticizing modi,govern misgovern,,,
3012,narendramodi indiatoday,indiatoday narendramodi_in,jana gana,,
3013,pulwama terror,indiastrikespakistan,indiastrikespakistan prime,avenge pulwama,pulwama
3014,congress lindseygrahamsc,lindseygrahamsc has,,,
3015,hindustaan zindabaad,pakistan murdabaad,zindabaad pakistan,terrorists hindustaan,zindabaad
3016,personnel awake,,,,
3017,indian aggression,,,,
3018,hitting pakistan,pakistani terrorists,saw pakistani,pakistan always,pakistani
3019,death penalty,deathpenalty firmly,,,
3020,bjp420party fools,modi are,bjp4india this,,
3021,indian strike,failed indian,,,
3022,attacks manollu,sangathi devudu,,,
3023,bombing balakot,balakot india,balakot,pulwama modi,bjp again
3024,dalits were,,,,
3025,rally veterans,memorial speech,election rally,,
3026,modi haters,,,,
3027,weakening congressâ,senate,congressâ power,the senate,
3028,no pakpolicy,pakpolicy are,,,
3029,shashi tharoor,tharoor accused,,,
3030,hai tohmumkinhai,modi hai,iafhaitomumkinhai,tohmumkinhai such,iafhaitomumkinhai but
3031,insult india,insulted india,twitter insulted,,
3032,,,,,
3033,kashmir issue,finally kashmir,,,
3034,india freedom,rss member,that rss,towards britishrs,
3035,blaming nehru,nehru means,nehru,the bjp,bjp
3036,bjp chucked,after bjp,,,
3037,bjp cadets,coward bjp,cadets are,cadets,
3038,citizenship amendment,citizenship,,,
3039,diplomacy modi,pakis,pakis without,hit pakis,
3040,slavery are,slavery today,,,
3041,valpayee bjp,durga,her durga,bjp had,durga the
3042,hindi translation,hindi,,,
3043,,,,,
3044,gujarat riots,kashmiri students,riots 2002,playbook kashmiri,riots
3045,of pulwama,,,,
3046,bjp wants,pulwama we,hindu votes,,
3047,,,,,
3048,,,,,
3049,modi in,modi,,,
3050,on kashmiris,kashmiris,kashmiris is,,
3051,particular caste,,,,
3052,,,,,
3053,in assam,assam,assam is,assam by,
3054,gandhi ji,,,,
3055,attacked pakistanis,pakistanis in,,,
3056,praising modi,core wallahs,hate modi,,
3057,destroy trees,,,,
3058,karan thaper,commies yadavas,,,
3059,war memorial,memorial of,,,
3060,,,,,
3061,rioting today,is rioting,rioting,,
3062,modi haters,,,,
3063,nagpur ideology,imposing nagpur,nagpur,ideology rahulgandhi,
3064,kejriwal will,surgical strike,,,
3065,targeting rajendra_127,,,,
3066,tomato strike,on pakistan,pakistan before,pakistan,
3067,the drugmakers,pharmaceutical executives,drugmakers,,
3068,modi failed,failed,vikramadityainc modi,,
3069,,,,,
3070,brown bears,bears dropped,,,
3071,nehru steal,nehru,pt nehru,,
3072,malnutrition,malnutrition this,from malnutrition,overweight,overweight and
3073,indianfailedstrike pakistanairforce,,,,
3074,loc violations,,,,
3075,,,,,
3076,,,,,
3077,indian pilot,rajnath singh,,,
3078,,,,,
3079,libtards say,,,,
3080,falsely accused,,,,
3081,pope supported,,,,
3082,airstrikes until,,,,
3083,supporting terrorism,,,,
3084,missing rafale,rafale badly,jaihind,nationfirst jaihind,
3085,,,,,
3086,border walls,building border,walls means,congress noborderwall,walls
3087,cooper what,,,,
3088,,,,,
3089,return abhinandanvarthaman,abhinandanvarthaman to,abhinandanvarthaman,,
3090,alive pakistabzindabad,salute pakistanairforce,,,
3091,raksha mantri,app raksha,kadi ninda,,
3092,,,,,
3093,pity indiafirst,,,,
3094,blackmail imran,imran is,imran,,
3095,retweet bjp,sanju verma,,,
3096,indian attack,ashoswai predicted,narendramodi will,,
3097,,,,,
3098,4yrs modi,modi hasnâ,modi,,
3099,india hatred,modi hatred,,,
3100,gandhi fought,indira gandhi,peace war,word peace,
3101,rahulkanwal indian,rahulkanwal,pakistanarmy pakistanstrikesback,you rahulkanwal,visionary leader
3102,pakis hai,kaha hai,,,
3103,zee news,news wont,,,
3104,pak terror,balakotâ success,modi gov,,
3105,,,,,
3106,of bjp4india,bjp4india,,,
3107,india rejected,rejected imran,imran khan,loc pakistanarmyzindabad,news india
3108,riots began,feb riots,riots,violence was,
3109,,,,,
3110,,,,,
3111,,,,,
3112,consensus nonsensus,,,,
3113,,,,,
3114,pak army,kashmir loc,entire pak,,
3115,intelligence fail,intelligence failure,,,
3116,kapoorashok25,kapoorashok25 romy1965,indian_girishn _venumadhav_,ram_burdak kapoorashok25,rajeshk42655806 harsubh
3117,pakistan threatening,narendramodi pakistan,blackmailing us,,
3118,narendramodi pakistan,,,,
3119,political objective,narendra modi,,,
3120,khan reaction,modi reaction,vs imran,,
3121,pulwamaattack pm,capture pm,,,
3122,modi means,modi,them modi,modi continuous,
3123,,,,,
3124,indian opposition,will opposition,pakistan quoting,pakistan or,opposition parties
3125,dastardly pulwama,rahul gandhi,opposition meeting,pulwama attack,
3126,targeted terror,we targeted,targeted our,,
3127,pakistan wants,nor pakistan,,,
3128,pakistan retaliated,unfortunately abhinandan,abhinandan was,,
3129,lying cohen,testify,,,
3130,sangh family,,,,
3131,,,,,
3132,paki lectures,,,,
3133,,,,,
3134,modi govt,,,,
3135,hate pakistan,pakistan more,support modi,,
3136,ns mns,,,,
3137,crore jobs,unemployed youth,,,
3138,,,,,
3139,modi wants,modi,,,
3140,paul gosar,,,,
3141,bjp home,by bjp,bjp,,
3142,,,,,
3143,,,,,
3144,secure microphone,microphone,,,
3145,pulwama victim,of pulwama,pulwama,,
3146,worst congress,,,,
3147,terroristsâ religious,indians traitors,terroristsâ,,
3148,,,,,
3149,,,,,
3150,release hypocrisy,,,,
3151,mob lawyer,,,,
3152,,,,,
3153,bhagavan krishna,arjuna in,fought bhagavan,arjuna,to arjuna
3154,pakistanairforceourpride wingcommanderabhinandan,nationstandswithpakforces pakistanstrikesback,pakistanairforceourpride,pakistanarmyzindabad pakistanairforceourpride,pakistanstrikesback pakistanarmyzindabad
3155,offended gymjordan,gymjordan is,gymjordan,,
3156,,,,,
3157,bjp4india bjpsamvad,bjp4india,bjpsamvad bjp4maharashtra,bjp4maharashtra,
3158,home minister,minister is,in bjp,,
3159,pakistan how,narendramodi,the narendramodi,narendramodi high,imrankhanpti ked
3160,ghanaian students,cancels scholarships,scholarships of,000 ghanaian,scholarships
3161,pakistan stands,pakistan,pakistan zindabad,mongers pakistan,
3162,pulwamaterrorattack pakistan,indiastrikespakistan pulwamaterrorattack,indiastrikespakistan,,
3163,pakistan airspace,violated pakistan,modi hatred,,
3164,escalation india,war escalation,,,
3165,narender modi,plunge india,modi,down modi,modi is
3166,,,,,
3167,stamp wapasi,modi stamp,,,
3168,nationfirst balakot,balakot,,,
3169,,,,,
3170,nda was,chilling no,chilling,the nda,nda
3171,gandhi ji,gandhi,,,
3172,mahatma gandhi,gandhi was,gandhi,,
3173,,,,,
3174,,,,,
3175,teenager terrorist,are terrorist,terrorist,terrorist and,
3176,country hain,,,,
3177,live liar,,,,
3178,cohen hit,cohen,,,
3179,,,,,
3180,imrankhan,imrankhan despite,,,
3181,imran khan,pakistan are,,,
3182,pakistan should,pakistanstrikesback pulwama,without pakistan,pakistan firing,pakistanstrikesback
3183,congress pass,medicareforall,medicareforall has,,
3184,rico constitution,,,,
3185,,,,,
3186,,,,,
3187,nehru khan,nehru,betraying bharat,kashmir and,prosper nehru
3188,cohen is,cohen,,,
3189,that bjp,,,,
3190,bomb pakistani,pakistan today,what pakistan,,
3191,telangana now,to telangana,,,
3192,india attack,,,,
3193,pak and,both pak,,,
3194,someone testifying,testifying,cohenâ credibility,testifying here,
3195,data leaking,databreach is,databreach,,
3196,congratulations narendramodi,,,,
3197,,,,,
3198,,,,,
3199,,,,,
3200,,,,,
3201,,,,,
3202,war ðÿ,indiaðÿ ðÿ,ðÿ war,pak ðÿ,âœ indiaðÿ
3203,,,,,
3204,are angry,,,,
3205,ambani video,,,,
3206,russia should,,,,
3207,article 370,article 35a,,,
3208,,,,,
3209,witness dems,,,,
3210,russian narrative,,,,
3211,nda work,nda generally,nda,of nda,
3212,,,,,
3213,thejaggi india_policy,india_policy,india_policy rajeevsrinivasa,,
3214,mig 21,,,,
3215,,,,,
3216,india_policy rajeevsrinivasa,,,,
3217,ask bjp,pulwama no,,,
3218,,,,,
3219,,,,,
3220,war bjp,declared war,bjp has,war indian,
3221,,,,,
3222,cohen apologizes,,,,
3223,reject bjp,thelogicalvoters bjp_à,bjp,bjp in,bjp_à
3224,,,,,
3225,terrorist pmoindia,pakistan the,real terrorist,,
3226,,,,,
3227,,,,,
3228,air strikes,indiaâ air,,,
3229,,,,,
3230,we crossed,crossed times,,,
3231,congressional reform,pension congressman,,,
3232,media pakistan,banning twitter,,,
3233,modi sarkar,accountable pakiatanindia,sarkar who,sarkar,
3234,harassing jammu,jammu youth,jammu pulwamaattack,jammu,
3235,pak shouldn,gandhi pak,indira gandhi,indira,
3236,indiaâ crude,reducing indiaâ,oil imports,crude oil,
3237,pak army,pak,,,
3238,you indicted,indicted,indicted and,,
3239,saynotowar pakindia,modi saynotowar,wants war,pakindia,
3240,indians narendra,narendra modi,modi saynotomodi,fooled indians,
3241,announced witness,,,,
3242,fake handle,of namo,namo,,
3243,congress repraskin,,,,
3244,lair,lair don,,,
3245,captured india,kashmiri congress,,,
3246,paki provocation,to paki,paki,,
3247,cohen shames,claims cohen,,,
3248,gaelicfootballshow ep4,gaelicfootballshow,the gaelicfootballshow,galway_gaa,galway_gaa use
3249,ilhan omar,,,,
3250,pakistan hates,pm narendramodi,,,
3251,cohen lied,,,,
3252,,,,,
3253,politicising pulwama,pulwama attack,accuse bjp,pulwama,bjp
3254,,,,,
3255,,,,,
3256,cohen is,cohen,,,
3257,,,,,
3258,the trial,,,,
3259,bjp ysrcparty,mp resigned,against bjp,vsreddy_mp bjp4andhra,bjp4andhra
3260,india understand,,,,
3261,,,,,
3262,,,,,
3263,of progressivism,progressivism,progressivism that,,
3264,hate bjp,bjp,bjp for,,
3265,narendra modi,am loser,loser am,user narendra,
3266,pakistan retaliating,pakistan why,is pakistan,india hit,
3267,,,,,
3268,rafale bringbackabhinandan,abhinandan fiasco,,,
3269,perjury is,is perjury,perjury,rico crimes,perjury conspiring
3270,breitbartnews islam,breitbartnews,,,
3271,congressmah raskin,,,,
3272,congress fail,,,,
3273,reporting kapil,delhi police,,,
3274,,,,,
3275,bomb pakistan,,,,
3276,pakistani terrorist,terrorist pmoindia,indiastrikespakistan narendramodijindabad,of pakistani,pakistani
3277,cohen guilty,,,,
3278,pakistan line,called terroristâ,terroristâ ahh,,
3279,news indian,indian media,pakistani dgispr,,
3280,pakfakeclaim bringbackabhinandan,nationfirst pakfakeclaim,officer ramesh_bjp,indian airspace,ramesh_bjp narendramodi
3281,meets bubba,gentle bubba,bubba,bubba new,
3282,modi chipakproxy,chipak agenda,oppose pm,,
3283,,,,,
3284,,,,,
3285,,,,,
3286,mig 21,mig,,,
3287,iaf abhinandan,bjp bringbackabhinandan,bilaspur chhattisgarh,bilaspur today,bilaspur
3288,,,,,
3289,pulwama attack,,,,
3290,sikh killed,sikhs,because sikh,sikhs in,15000 sikhs
3291,,,,,
3292,,,,,
3293,,,,,
3294,pokemon livestream,,,,
3295,refused ikâ,,,,
3296,,,,,
3297,panic pakistan,wipe pakistan,pakistan off,,
3298,hate india,hate namo,,,
3299,,,,,
3300,modi cuts,,,,
3301,,,,,
3302,,,,,
3303,congress cohencongressionaltestimony,stupid cohen,cohentestimony,cohen was,cohen
3304,indian opposition,opposition indiastrikespakistan,will opposition,pakistan quoting,
3305,,,,,
3306,cohen lied,,,,
3307,issue pakistan,,,,
3308,mig 21,mig 21s,the mig,,
3309,,,,,
3310,younger cohenhearing,grill cohen,,,
3311,of kashmiris,,,,
3312,modi ji,,,,
3313,modi misjudged,modi,,,
3314,ban rs,2000 note,rs 2000,,
3315,nascarchuck336,nascarchuck336 pllmyfnger,,,
3316,bird tickets,,,,
3317,passive war,,,,
3318,,,,,
3319,,,,,
3320,feku failures,,,,
3321,on kashmir,bombing,kashmir,,
3322,cohen testimony,,,,
3323,mig 21,congratulated iaf,,,
3324,imran khan,,,,
3325,,,,,
3326,benefit bjp,seculars are,,,
3327,welcomed modi,promises gobackmodi,,,
3328,requesting modi,,,,
3329,,,,,
3330,modi,,,,
3331,modi ji,narendramodi ji,ji name,,
3332,pakistan uninvited,modi went,,,
3333,surgical strike,,,,
3334,not pakistan,india fight,,,
3335,imran had,pressure pakistan,imran,,
3336,masood azhar,,,,
3337,threatened pakistan,pakistan on,,,
3338,nehru and,nehru,bot nehru,khandhan hates,gandhi we
3339,,,,,
3340,,,,,
3341,witness tampering,,,,
3342,of measles,measles,measles we,,
3343,,,,,
3344,muraliks_11 ttsbalakrishnan,,,,
3345,pakistan army,pakistan modi,india lost,imran khan,by pakistan
3346,,,,,
3347,indiafreesabhinandan pakistan,pakistan,pakistan is,indiafreesabhinandan,
3348,ceremony modi,modi went,,,
3349,modi is,shit letbettersenseprevail,modi,letbettersenseprevail,
3350,,,,,
3351,failed chaiwala,chaiwala will,chaiwala,shatrugansinha narendramodi,shatrugansinha ji
3352,liberals stone,stone pelters,terrorists liberals,jawans liberals,
3353,blames indian,pulwama attack,,,
3354,modi have,does modi,,,
3355,convict manafort,,,,
3356,indian media,media terrorists,,,
3357,mission was,,,,
3358,balakot bombing,bombing imran,modi balakot,angry india,liberals pulwama
3359,abhinandanmyhero salute,on pakistan,back abhinandanmyhero,pakistan to,welcomebackabhinandan
3360,congress weakened,,,,
3361,,,,,
3362,modi ji,,,,
3363,,,,,
3364,economist rajdeep,,,,
3365,pakistani pimps,,,,
3366,help bjp,bjp makes,bjp,the bjp,bjp win
3367,pm narendramodi,indian politics,shouldnâ politicize,,
3368,gandhi vs,rahulgandhi difference,rahul gandhi,rafale scam,rahulgandhi
3369,pakistan pm,imran khan,narendramodi mohamedbinzayed,narendra modi,mohamed bin
3370,,,,,
3371,sonam kapoor,bollywood call,kapoor the,kapoor,called wingcommandarabhinandan
3372,gujarat massacre,with gujarat,gujarat,modi,modi with
3373,,,,,
3374,fix dkshivakumar,,,,
3375,,,,,
3376,mahagathbandhan gang,,,,
3377,modi plays,,,,
3378,,,,,
3379,kashmir will,ayega jammu,islami sabka,jamaat islami,
3380,bjp sad,,,,
3381,lawyer kapil,,,,
3382,,,,,
3383,imran khan,modiji bjp,insult modiji,,
3384,india retaliates,peace pakistan,pakistan is,,
3385,karachi pakis,sindh as,sindh,sindh might,and sindh
3386,pakistan kudos,,,,
3387,terrorist died,,,,
3388,indian democracy,modi govt,why modi,modi is,notowar indian
3389,sarabjeet singh,singh who,leader modi,singh,
3390,pushing gandhi,gandhi as,gandhi,india gandhi,
3391,why bjp,bjp,kashmiri fidayeen,kashmiri,first kashmiri
3392,against war,,,,
3393,release genevaconvention,,,,
3394,bjp has,kashmir again,bjp,,
3395,sro 202,,,,
3396,narendramodi bjp4india,bjp4india why,bjp4india,,
3397,,,,,
3398,abhinandan to,pakistan is,releasing abhinandan,abhinandan,pakistan
3399,,,,,
3400,unsubstantiated allegations,liar was,,,
3401,bole kya,kya bole,kare kya,mumkin hai,kya modi
3402,,,,,
3403,lakh retweets,retweets and,million retweets,retweets,kathua has
3404,,,,,
3405,rahul to,need rahul,rahul,,
3406,,,,,
3407,modi ji,,,,
3408,congress courage,courage is,courage,,
3409,adolf modi,,,,
3410,bharat was,,,,
3411,,,,,
3412,defeat bjp,arogent bjp,bjp so,bjp,
3413,rafale chowkidar,chor hai,nautanki over,hai,to rafale
3414,,,,,
3415,are madrasa,madrasa,rss school,jihadis,madrasa products
3416,thanking pakistan,,,,
3417,dear liberals,,,,
3418,strike kodiyeri,,,,
3419,child poverty,poverty target,,,
3420,condemning terror,terror acts,sponsoring terror,,
3421,peace balochistanisnotpakistan,balochistan indians,balochistan,pak army,balochistanisnotpakistan
3422,bjp bakths,these bjp,abhinandan as,declare abhinandan,
3423,strike bjp4india,abhinandanmyhero,welcomebackabhinandan abhinandanmyhero,abhinandanmyhero and,bjp4india and
3424,,,,,
3425,,,,,
3426,,,,,
3427,bjp and,the bjp,bjp,,
3428,gujarat since,in gujarat,gujarat,narendra modi,
3429,soldiers bjp,bjp4india agree,,,
3430,,,,,
3431,congressional testimony,veracity of,,,
3432,jamaat islami,mujahideen hurriyat,hizbul mujahideen,islami is,islami
3433,,,,,
3434,putin dials,russiaâ,russiaâ putin,,
3435,bjp would,,,,
3436,indian govt,,,,
3437,varthaman back,abhinandan varthaman,varthaman,,
3438,modiâ dangerous,pakistan should,,,
3439,poor indianâ,,,,
3440,jihadi duryodhans,,,,
3441,,,,,
3442,jawans martyrd,modi shah,55 jawans,,
3443,bjp overdoing,confident bjp,bjp,,
3444,,,,,
3445,pakistani terrorists,,,,
3446,it nervousness,nervousness,calling modi,nervousness of,modi
3447,stupidity congress,,,,
3448,,,,,
3449,,,,,
3450,pakistani premier,imrankhanpti won,premier imrankhanpti,,
3451,,,,,
3452,,,,,
3453,pakistan mehboobamufti,,,,
3454,killing palestinians,kashmir just,,,
3455,destroys pakistan,pakistan forever,,,
3456,imp abhinandanvarthaman,abhinandanvarthaman,terrorists gps,,
3457,,,,,
3458,govt northeastwelcomesrahulgandhi,of bjp,bjp is,failed govt,bjp
3459,want war,pakistan acts,region pakistan,,
3460,,,,,
3461,kulbhushan jadhav,pakistani jail,,,
3462,gandhi going,fight modi,rahul gandhi,gandhi,modi ðÿ
3463,putin modi,pulwama terrorist,call putin,,
3464,have gandhi,gandhi done,gandhi,,
3465,mamata didi,,,,
3466,,,,,
3467,chowkidar sher,admit chowkidar,sher hai,chowkidar,
3468,crowded protest,protest,protest nearly,,
3469,ðÿ kashmir,modi kashmir,kashmir dispute,,
3470,kerala are,kerala,andhra pradesh,andhra,
3471,abhyanand released,if abhyanand,abhyanand won,abhyanand,
3472,abortion legit,,,,
3473,,,,,
3474,,,,,
3475,modi tv,,,,
3476,,,,,
3477,pulwamaterrorattack congrats,,,,
3478,abhinandan salute,abhinandan to,to abhinandan,abhinandan narendramodi,abhinandan
3479,gaetz admits,gaetz,so gaetz,,
3480,modi was,,,,
3481,threatens pak,candles modi,cong threatens,,
3482,indian railways,reservations iti,iti students,railways needs,
3483,jawans martyrd,bjp gobackmodi,modi shah,,
3484,modi is,modi,madam modi,,
3485,advantage pak,raise pak,pak,,
3486,pakistanâ terror,absolves pakistanâ,,,
3487,courtney reaction,,,,
3488,gujarat riots,,,,
3489,,,,,
3490,killing hindus,gandhi,gandhi in,,
3491,,,,,
3492,yo safaricomltd,safaricomltd we,nda ziiii,nda,
3493,flag bjpitcell,bjpleaders and,bjpleaders,bjp,bjpitcell and
3494,gun confiscation,gun registry,gun bans,,
3495,help bjp,bjp,,,
3496,soldiers martyred,,,,
3497,modi jaggernaut,,,,
3498,,,,,
3499,ceremony modi,pak pm,modi went,,
3500,pakistan thankyouimrankhan,war imran,imran need,need peace,
3501,lahore bus,delhi lahore,,,
3502,madness india,modi madness,,,
3503,pakistan should,destroyed finalstrike,,,
3504,,,,,
3505,escalation pakistan,indopak tensions,pakistan pm,pm narendramodi,
3506,gandhi speech,indira gandhi,indira,gandhi,speech in
3507,imran khan,modi thunder,stolen modi,khan has,
3508,fuck modi,modi shitfaced,modi,,
3509,bjpfailednationalsecurity,section bjpfailednationalsecurity,,,
3510,,,,,
3511,,,,,
3512,,,,,
3513,urges congress,partisan madness,,,
3514,,,,,
3515,modi should,,,,
3516,lead india,,,,
3517,narendra modi,modi narendramodi,narendramodi is,,
3518,,,,,
3519,medicaid are,,,,
3520,chaiwala doesn,chaiwala,that chaiwala,support terrorism,
3521,funded experiments,,,,
3522,modi donkey,real indians,,,
3523,goback modi,modi where,,,
3524,pakfakeclaims,saynotowar pakistan,pakfakeclaims bankrupt,bankrupt pakistan,pakistan
3525,facts cohen,cohen behavior,cohen,,
3526,abhinandan declared,commander abhinandan,,,
3527,,,,,
