,0,1,2,3,4
304,prime ministers,,,,
305,gobackmodi atrocities,massacre ðÿ,,,
306,accuses chor,chor accuses,are chor,who chor,chowkidar sher
307,hating cybercoolies,modi hating,,,
308,bjp regime,bjp,during bjp,indian pm,
309,hating modi,modi fierce,modi,,
310,fake currency,gdp increased,currency gdp,demonetization,
311,,,,,
312,,,,,
313,bjp killed,massacre bjp,claim bjp,bjp members,
314,bjp,bengal,the bjp,bjp gets,from bengal
315,incorrect rahul,unreasonable rahul,rahul,rahul is,rahul as
316,chor hai,failed hai,rajnathsingh modi,modi chor,hai aap
317,gandhi is,rahul gandhi,gandhi,,
318,modi attacked,narendra modi,,,
319,antisemites they,antisemites,are antisemites,,
320,aiimsmadurai,aiimsmadurai tnwelcomesmodi,maduraithanksmodi vaiko,maduraithanksmodi,tnwelcomesmodi maduraithanksmodi
321,these chaatoos,papa modi,lollipops of,lollipops,chaatoos
322,,,,,
323,,,,,
324,presidential harassment,congressional harassment,harassment,,
325,tnwelcomesmodi the,tnwelcomesmodi,,,
326,rahul is,rahul,,,
327,tnwelcomesmodi bjp4india,bjp4india drtamilisaibjp,modi ji,bjp4india,cleanse tamil
328,vijayan criticises,pinarayi vijayan,,,
329,demonetization had,,,,
330,russia shock_therapy,shock_therapy_russia,shock_therapy shock_therapy_russia,shock_therapy_russia gobackmodi,shock therapy
331,rafale pricing,,,,
332,krishnaganj shot,shot dead,,,
333,democracy bjp,west bengal,bjp is,bjp,
334,healthy india,,,,
335,is scam,scams better,rafaledeal afterall,scam in,knows scams
336,udaan,girl students,,,
337,princearihan christians,,,,
338,thiruttu rail,,,,
339,their tweets,tweets on,tweets related,twitterindia,however tweets
340,secure odisha,odisha,odisha is,,
341,modi did,congress failed,tnwelcomesmodi modiagain2019,,
342,indian tnwelcomesmodi,indian,real indian,south politics,
343,warns twitter,bjp warns,modi will,,
344,,,,,
345,aamirkhan fans,,,,
346,tamil nadu,tamil,nadu,in tamil,
347,,,,,
348,women safety,,,,
349,delhi police,bjp goons,of delhi,of bjp,
350,operation muskaan,muskaan ii,missing children,muskaan,children missing
351,indian janta,janta will,ambani now,ambani,
352,,,,,
